"날짜","월","시도명","품목","aws_평균_기온","aws_최고_기온","aws_최저_기온","aws_합계_강수량","aws_평균_풍속","aws_최고_풍속","aws_최다_풍향","asos_평균_해면기압","asos_최고_해면기압","asos_최저_해면기압","asos_합계_일조시간","asos_일조율","asos_평균_상대습도","asos_최저_상대습도","가격","요일","계절","aws_일교차","aws_강수_유무","연도","계절_온도","일","년도","월_코사인","일_코사인","월_사인","일_사인","lag1_aws_평균_기온","lag2_aws_평균_기온","lag3_aws_평균_기온","lag4_aws_평균_기온","lag5_aws_평균_기온","lag6_aws_평균_기온","lag7_aws_평균_기온","lag14_aws_평균_기온","lag21_aws_평균_기온","lag28_aws_평균_기온","lag1_aws_합계_강수량","lag2_aws_합계_강수량","lag3_aws_합계_강수량","lag4_aws_합계_강수량","lag5_aws_합계_강수량","lag6_aws_합계_강수량","lag7_aws_합계_강수량","lag14_aws_합계_강수량","lag21_aws_합계_강수량","lag28_aws_합계_강수량","lag1_aws_평균_풍속","lag2_aws_평균_풍속","lag3_aws_평균_풍속","lag4_aws_평균_풍속","lag5_aws_평균_풍속","lag6_aws_평균_풍속","lag7_aws_평균_풍속","lag14_aws_평균_풍속","lag21_aws_평균_풍속","lag28_aws_평균_풍속","lag1_asos_평균_해면기압","lag2_asos_평균_해면기압","lag3_asos_평균_해면기압","lag4_asos_평균_해면기압","lag5_asos_평균_해면기압","lag6_asos_평균_해면기압","lag7_asos_평균_해면기압","lag14_asos_평균_해면기압","lag21_asos_평균_해면기압","lag28_asos_평균_해면기압","lag1_asos_합계_일조시간","lag2_asos_합계_일조시간","lag3_asos_합계_일조시간","lag4_asos_합계_일조시간","lag5_asos_합계_일조시간","lag6_asos_합계_일조시간","lag7_asos_합계_일조시간","lag14_asos_합계_일조시간","lag21_asos_합계_일조시간","lag28_asos_합계_일조시간","lag1_asos_평균_상대습도","lag2_asos_평균_상대습도","lag3_asos_평균_상대습도","lag4_asos_평균_상대습도","lag5_asos_평균_상대습도","lag6_asos_평균_상대습도","lag7_asos_평균_상대습도","lag14_asos_평균_상대습도","lag21_asos_평균_상대습도","lag28_asos_평균_상대습도","aws_평균_기온_7일평균","asos_평균_해면기압_7일평균","aws_합계_강수량_7일평균","aws_평균_풍속_7일평균","aws_평균_기온_14일평균","asos_평균_해면기압_14일평균","aws_합계_강수량_14일평균","aws_평균_풍속_14일평균"
2016-01-04,1,"충북","양배추",3.74166666666667,8.275,-2.825,0,2.10833333333333,4.89166666666667,"서",1023.02,1026.18,1019.58,7.06,72.5,53.3,23.2,1980,"월","겨울",11.1,0,2016,-4.18157514450867,4,2016,0.866025403784439,0.688966919075687,0.5,0.72479278722912,3.74166666666667,3.74166666666667,3.74166666666667,3.74166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10833333333333,2.10833333333333,2.10833333333333,2.10833333333333,0,0,0,0,0,0,1023.02,1023.02,1023.02,1023.02,0,0,0,0,0,0,7.06,7.06,7.06,7.06,0,0,0,0,0,0,53.3,53.3,53.3,53.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-05,1,"충북","양배추",-1.925,3.00833333333333,-6.19166666666667,0,1.36666666666667,3.75833333333333,"서",1027.18,1028.9,1025.5,5.18,53.12,40.3,17.4,1980,"화","겨울",9.2,0,2016,-4.18157514450867,5,2016,0.866025403784439,0.528964010326962,0.5,0.848644257494751,-1.925,-1.925,-1.925,-1.925,3.74166666666667,3.74166666666667,3.74166666666667,3.74166666666667,0,0,0,0,0,0,0,0,0,0,0,0,1.36666666666667,1.36666666666667,1.36666666666667,1.36666666666667,2.10833333333333,2.10833333333333,2.10833333333333,2.10833333333333,0,0,1027.18,1027.18,1027.18,1027.18,1023.02,1023.02,1023.02,1023.02,0,0,5.18,5.18,5.18,5.18,7.06,7.06,7.06,7.06,0,0,40.3,40.3,40.3,40.3,53.3,53.3,53.3,53.3,0,0,-0.30595238095238,1025.99142857143,0,1.57857142857143,1.71785714285714,1024.50571428571,0,1.84345238095238
2016-01-06,1,"충북","양배추",-2.3,3.29166666666667,-8.74166666666667,0,1.1,4.05833333333333,"서",1025.62,1028.66,1022.82,4.12,42.16,56.8,38,1980,"수","겨울",12.0333333333333,0,2016,-4.18157514450867,6,2016,0.866025403784439,0.34730525284482,0.5,0.93775213214708,-2.3,-2.3,-2.3,-2.3,-1.925,-1.925,-1.925,-1.925,3.74166666666667,3.74166666666667,0,0,0,0,0,0,0,0,0,0,1.1,1.1,1.1,1.1,1.36666666666667,1.36666666666667,1.36666666666667,1.36666666666667,2.10833333333333,2.10833333333333,1025.62,1025.62,1025.62,1025.62,1027.18,1027.18,1027.18,1027.18,1023.02,1023.02,4.12,4.12,4.12,4.12,5.18,5.18,5.18,5.18,7.06,7.06,56.8,56.8,56.8,56.8,40.3,40.3,40.3,40.3,53.3,53.3,-2.19285714285714,1026.06571428571,0,1.17619047619048,-2.05892857142857,1026.62285714286,0,1.27142857142857
2016-01-07,1,"충북","양배추",-2.4,2.60833333333333,-6.51666666666667,0,1.75,4.61666666666667,"서",1024.4,1026.2,1022.48,7.36,75.28,53.34,28.4,1980,"목","겨울",9.125,0,2016,-4.18157514450867,7,2016,0.866025403784439,0.151427777504577,0.5,0.988468324328111,-2.4,-2.4,-2.4,-2.4,-2.3,-2.3,-2.3,-2.3,-1.925,-1.925,0,0,0,0,0,0,0,0,0,0,1.75,1.75,1.75,1.75,1.1,1.1,1.1,1.1,1.36666666666667,1.36666666666667,1024.4,1024.4,1024.4,1024.4,1025.62,1025.62,1025.62,1025.62,1027.18,1027.18,7.36,7.36,7.36,7.36,4.12,4.12,4.12,4.12,5.18,5.18,53.34,53.34,53.34,53.34,56.8,56.8,56.8,56.8,40.3,40.3,-2.37142857142857,1024.74857142857,0,1.56428571428571,-2.33571428571429,1025.18428571429,0,1.33214285714286
2016-01-08,1,"충북","양배추",-3.65833333333333,2.325,-8.7,0,1.36666666666667,4.49166666666667,"남서",1023.52,1025.28,1021.48,8.3,84.68,53.58,29.2,1980,"금","겨울",11.025,0,2016,-4.18157514450867,8,2016,0.866025403784439,-0.0506491688387126,0.5,0.998716507171053,-3.65833333333333,-3.65833333333333,-3.65833333333333,-3.65833333333333,-2.4,-2.4,-2.4,-2.4,-2.3,-2.3,0,0,0,0,0,0,0,0,0,0,1.36666666666667,1.36666666666667,1.36666666666667,1.36666666666667,1.75,1.75,1.75,1.75,1.1,1.1,1023.52,1023.52,1023.52,1023.52,1024.4,1024.4,1024.4,1024.4,1025.62,1025.62,8.3,8.3,8.3,8.3,7.36,7.36,7.36,7.36,4.12,4.12,53.58,53.58,53.58,53.58,53.34,53.34,53.34,53.34,56.8,56.8,-3.29880952380952,1023.77142857143,0,1.47619047619048,-2.84940476190476,1024.08571428571,0,1.61309523809524
2016-01-11,1,"충북","양배추",-4.20833333333333,2.64166666666667,-8.95,0,1.15,3.85,"남서",1026.48,1028.54,1024.02,8.44,85.8,44.36,19.2,1980,"월","겨울",11.5916666666667,0,2016,-4.18157514450867,11,2016,0.866025403784439,-0.612105982547663,0.5,0.790775736937699,-4.20833333333333,-4.20833333333333,-4.20833333333333,-4.20833333333333,-3.65833333333333,-3.65833333333333,-3.65833333333333,-3.65833333333333,-2.4,-2.4,0,0,0,0,0,0,0,0,0,0,1.15,1.15,1.15,1.15,1.36666666666667,1.36666666666667,1.36666666666667,1.36666666666667,1.75,1.75,1026.48,1026.48,1026.48,1026.48,1023.52,1023.52,1023.52,1023.52,1024.4,1024.4,8.44,8.44,8.44,8.44,8.3,8.3,8.3,8.3,7.36,7.36,44.36,44.36,44.36,44.36,53.58,53.58,53.58,53.58,53.34,53.34,-4.05119047619047,1025.63428571429,0,1.21190476190476,-3.8547619047619,1024.57714285714,0,1.28928571428572
2016-01-12,1,"충북","양배추",-5.46666666666667,1.9,-11.9916666666667,0,1.24166666666667,4.125,"남서",1024.04,1026.68,1021.36,8.48,86,51.3,20.6,1980,"화","겨울",13.8916666666667,0,2016,-4.18157514450867,12,2016,0.866025403784439,-0.758758122692791,0.5,0.651372482722222,-5.46666666666667,-5.46666666666667,-5.46666666666667,-5.46666666666667,-5.46666666666667,-5.46666666666667,-5.46666666666667,-4.20833333333333,-4.20833333333333,-3.65833333333333,0,0,0,0,0,0,0,0,0,0,1.24166666666667,1.24166666666667,1.24166666666667,1.24166666666667,1.24166666666667,1.24166666666667,1.24166666666667,1.15,1.15,1.36666666666667,1024.04,1024.04,1024.04,1024.04,1024.04,1024.04,1024.04,1026.48,1026.48,1023.52,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.44,8.44,8.3,51.3,51.3,51.3,51.3,51.3,51.3,51.3,44.36,44.36,53.58,-5.46666666666667,1024.04,0,1.24166666666667,-5.28690476190476,1024.38857142857,0,1.22857142857143
2016-01-13,1,"충북","양배추",-2.625,1.1,-7.15,0.341666666666667,1.98333333333333,4.86666666666667,"서",1020.38,1022.96,1017.92,4.04,40.9,69.12,40.6,1980,"수","겨울",8.25,1,2016,-4.18157514450867,13,2016,0.866025403784439,-0.874346616144582,0.5,0.485301962531081,-2.625,-2.625,-2.625,-2.625,-2.625,-2.625,-2.625,-5.46666666666667,-5.46666666666667,-4.20833333333333,0.341666666666667,0.341666666666667,0.341666666666667,0.341666666666667,0.341666666666667,0.341666666666667,0.341666666666667,0,0,0,1.98333333333333,1.98333333333333,1.98333333333333,1.98333333333333,1.98333333333333,1.98333333333333,1.98333333333333,1.24166666666667,1.24166666666667,1.15,1020.38,1020.38,1020.38,1020.38,1020.38,1020.38,1020.38,1024.04,1024.04,1026.48,4.04,4.04,4.04,4.04,4.04,4.04,4.04,8.48,8.48,8.44,69.12,69.12,69.12,69.12,69.12,69.12,69.12,51.3,51.3,44.36,-2.625,1020.38,0.341666666666667,1.98333333333333,-3.03095238095238,1020.90285714286,0.292857142857143,1.87738095238095
2016-01-14,1,"충북","양배추",-3.56666666666667,1.49166666666667,-10.0833333333333,0.183333333333333,1.53333333333333,4.65,"남서",1022.22,1024.22,1020.2,7.96,80.38,53.74,27.6,1980,"목","겨울",11.575,1,2016,-4.18157514450867,14,2016,0.866025403784439,-0.954139256400049,0.5,0.299363122973358,-3.56666666666667,-3.56666666666667,-3.56666666666667,-2.625,-2.625,-2.625,-2.625,-2.625,-5.46666666666667,-5.46666666666667,0.183333333333333,0.183333333333333,0.183333333333333,0.341666666666667,0.341666666666667,0.341666666666667,0.341666666666667,0.341666666666667,0,0,1.53333333333333,1.53333333333333,1.53333333333333,1.98333333333333,1.98333333333333,1.98333333333333,1.98333333333333,1.98333333333333,1.24166666666667,1.24166666666667,1022.22,1022.22,1022.22,1020.38,1020.38,1020.38,1020.38,1020.38,1024.04,1024.04,7.96,7.96,7.96,4.04,4.04,4.04,4.04,4.04,8.48,8.48,53.74,53.74,53.74,69.12,69.12,69.12,69.12,69.12,51.3,51.3,-3.16309523809524,1021.43142857143,0.251190476190476,1.72619047619047,-2.89404761904762,1020.90571428571,0.296428571428572,1.8547619047619
2016-01-15,1,"충북","양배추",-2.86666666666667,3.93333333333333,-7.99166666666667,0.425,0.65,2.51666666666667,"남",1022.18,1023.7,1020.26,5.3,53.48,71.7,42.4,1980,"금","겨울",11.925,1,2016,-4.18157514450867,15,2016,0.866025403784439,-0.994869323391895,0.5,0.101168321987433,-2.86666666666667,-2.86666666666667,-2.86666666666667,-3.56666666666667,-3.56666666666667,-3.56666666666667,-3.56666666666667,-3.56666666666667,-2.625,-2.625,0.425,0.425,0.425,0.183333333333333,0.183333333333333,0.183333333333333,0.183333333333333,0.183333333333333,0.341666666666667,0.341666666666667,0.65,0.65,0.65,1.53333333333333,1.53333333333333,1.53333333333333,1.53333333333333,1.53333333333333,1.98333333333333,1.98333333333333,1022.18,1022.18,1022.18,1022.22,1022.22,1022.22,1022.22,1022.22,1020.38,1020.38,5.3,5.3,5.3,7.96,7.96,7.96,7.96,7.96,4.04,4.04,71.7,71.7,71.7,53.74,53.74,53.74,53.74,53.74,69.12,69.12,-3.16666666666667,1022.19714285714,0.321428571428571,1.02857142857143,-3.36666666666667,1022.20857142857,0.252380952380952,1.28095238095238
